,날짜,시가,고가,저가,종가,거래량,종목코드,종목명
0,2021-08-30,5850,5970,5770,5920,68587,095570,AJ네트웍스
1,2021-08-31,5930,5930,5810,5910,43604,095570,AJ네트웍스
2,2021-08-30,26350,27400,26100,27300,56037,006840,AK홀딩스
3,2021-08-31,27450,27700,27150,27500,37711,006840,AK홀딩스
4,2021-08-30,6320,6410,6300,6360,232110,027410,BGF
5,2021-08-31,6360,6410,6300,6330,150773,027410,BGF
6,2021-08-30,176500,181000,176500,181000,27053,282330,BGF리테일
7,2021-08-31,180500,183000,174000,178500,39814,282330,BGF리테일
8,2021-08-30,7950,7960,7740,7740,1158014,138930,BNK금융지주
9,2021-08-31,7710,7800,7640,7760,1175290,138930,BNK금융지주
10,2021-08-30,440000,440000,418000,418000,1059,001460,BYC
11,2021-08-31,418000,418000,382000,412000,1279,001460,BYC
12,2021-08-30,181000,181000,178000,179500,50,001465,BYC우
13,2021-08-31,179000,179000,176000,179000,45,001465,BYC우
14,2021-08-30,102500,103000,101000,101000,45372,001040,CJ
15,2021-08-31,101000,102500,99900,101500,122436,001040,CJ
16,2021-08-30,30000,30650,30000,30300,392910,079160,CJ CGV
17,2021-08-31,30250,30500,29850,30300,234193,079160,CJ CGV
18,2021-08-30,84400,84500,83300,84100,2714,00104K,CJ4우(전환)
19,2021-08-31,84500,84500,83400,84500,3014,00104K,CJ4우(전환)
20,2021-08-30,170000,170500,168500,170000,21496,000120,CJ대한통운
21,2021-08-31,169500,171000,168000,171000,40481,000120,CJ대한통운
22,2021-08-30,4240,4300,4220,4225,105002,011150,CJ씨푸드
23,2021-08-31,4235,4255,4180,4230,76607,011150,CJ씨푸드
24,2021-08-30,38500,39000,37600,38800,392,011155,CJ씨푸드1우
25,2021-08-31,38800,38800,38200,38750,176,011155,CJ씨푸드1우
26,2021-08-30,62600,63800,62200,62700,874,001045,CJ우
27,2021-08-31,62100,63200,61500,62800,1324,001045,CJ우
28,2021-08-30,446000,451000,442000,448000,32520,097950,CJ제일제당
29,2021-08-31,448500,453500,444000,453500,44884,097950,CJ제일제당
30,2021-08-30,201500,204000,200500,201500,3000,097955,CJ제일제당 우
31,2021-08-31,203000,203000,199000,201500,4260,097955,CJ제일제당 우
32,2021-08-30,64100,64900,63500,64200,1807,000590,CS홀딩스
33,2021-08-31,64200,64600,63000,64600,1763,000590,CS홀딩스
34,2021-08-30,1075,1080,1055,1065,919572,012030,DB
35,2021-08-31,1060,1065,1040,1055,659618,012030,DB
36,2021-08-30,6790,6800,6720,6740,60105,016610,DB금융투자
37,2021-08-31,6730,6760,6580,6750,130951,016610,DB금융투자
38,2021-08-30,59600,59900,58000,58600,115580,005830,DB손해보험
39,2021-08-31,58100,58800,56900,58700,212312,005830,DB손해보험
40,2021-08-30,61200,61300,59800,59900,369902,000990,DB하이텍
41,2021-08-31,59900,60000,58200,59800,751009,000990,DB하이텍
42,2021-08-30,116000,116000,113000,113000,534,000995,DB하이텍1우
43,2021-08-31,113500,113500,112000,112500,299,000995,DB하이텍1우
44,2021-08-30,9390,9400,9120,9120,475830,139130,DGB금융지주
45,2021-08-31,9120,9190,9040,9100,429978,139130,DGB금융지주
46,2021-08-30,363000,372000,347000,363500,43847,001530,DI동일
47,2021-08-31,369500,369500,358000,363500,23489,001530,DI동일
48,2021-08-30,71600,73400,71600,72200,96698,000210,DL
49,2021-08-31,72300,72600,70900,72300,108806,000210,DL
50,2021-08-30,31100,32350,31100,32300,59263,001880,DL건설
51,2021-08-31,32300,32550,31900,32300,34014,001880,DL건설
52,2021-08-30,43400,44400,42900,43750,2998,000215,DL우
53,2021-08-31,43750,43900,43250,43850,739,000215,DL우
54,2021-08-30,136500,141000,135000,139000,237097,375500,DL이앤씨
55,2021-08-31,141000,142000,139000,141000,189576,375500,DL이앤씨
56,2021-08-30,77400,79200,77000,78400,12144,37550K,DL이앤씨우
57,2021-08-31,78500,79300,77900,79000,12537,37550K,DL이앤씨우
58,2021-08-30,6650,6650,6450,6520,11177,004840,DRB동일
59,2021-08-31,6520,6520,6470,6500,11478,004840,DRB동일
60,2021-08-30,6860,7030,6750,6840,247410,155660,DSR
61,2021-08-31,6880,7350,6810,6960,764896,155660,DSR
62,2021-08-30,6610,6740,6450,6600,374429,069730,DSR제강
63,2021-08-31,6610,6860,6510,6620,433616,069730,DSR제강
64,2021-08-30,54200,54600,53900,54300,10898,017940,E1
65,2021-08-31,54300,55500,54300,55500,15362,017940,E1
66,2021-08-30,7030,7030,6890,6940,204205,365550,ESR켄달스퀘어리츠
67,2021-08-31,6960,7020,6840,6960,252383,365550,ESR켄달스퀘어리츠
68,2021-08-30,737000,743000,705000,742000,25691,383220,F&F
69,2021-08-31,735000,744000,720000,723000,29508,383220,F&F
70,2021-08-30,41850,44850,41550,44200,491021,007700,F&F홀딩스
71,2021-08-31,43700,44500,42550,44000,292352,007700,F&F홀딩스
72,2021-08-30,15750,16100,15700,15850,335760,114090,GKL
73,2021-08-31,15900,15950,15350,15600,366520,114090,GKL
74,2021-08-30,42250,42350,41800,42150,184380,078930,GS
75,2021-08-31,42200,42650,41600,42500,329253,078930,GS
76,2021-08-30,41400,44200,41400,43700,1809128,006360,GS건설
77,2021-08-31,44250,44850,43550,44750,1217063,006360,GS건설
78,2021-08-30,2740,2835,2735,2830,442082,001250,GS글로벌
79,2021-08-31,2840,2845,2770,2835,287228,001250,GS글로벌
80,2021-08-30,34100,34800,33950,34600,414928,007070,GS리테일
81,2021-08-31,34800,34850,34050,34300,430163,007070,GS리테일
82,2021-08-30,35800,36050,35750,36050,1939,078935,GS우
83,2021-08-31,36200,36200,35800,36000,2678,078935,GS우
84,2021-08-30,11550,11700,11450,11700,238525,012630,HDC
85,2021-08-31,11850,11850,11550,11750,225331,012630,HDC
86,2021-08-30,12400,12450,12150,12250,24051,039570,HDC아이콘트롤스
87,2021-08-31,12350,12450,12100,12350,13453,039570,HDC아이콘트롤스
88,2021-08-30,5390,5410,5340,5380,38156,089470,HDC현대EP
89,2021-08-31,5380,5410,5330,5380,37221,089470,HDC현대EP
90,2021-08-30,28700,30000,28650,29600,526286,294870,HDC현대산업개발
91,2021-08-31,29950,30200,29350,29900,452374,294870,HDC현대산업개발
92,2021-08-30,41550,41600,40850,41000,2277733,011200,HMM
93,2021-08-31,40950,42000,40200,42000,4187665,011200,HMM
94,2021-08-30,7530,7620,7450,7560,241333,082740,HSD엔진
95,2021-08-31,7610,7620,7430,7540,216672,082740,HSD엔진
96,2021-08-30,1675,1690,1665,1670,659010,003560,IHQ
97,2021-08-31,1665,1670,1640,1665,644021,003560,IHQ
98,2021-08-30,8300,8330,8110,8200,382873,175330,JB금융지주
99,2021-08-31,8200,8290,7970,8290,566471,175330,JB금융지주
100,2021-08-30,17100,17450,17100,17250,22510,234080,JW생명과학
101,2021-08-31,17250,17750,17250,17750,35594,234080,JW생명과학
102,2021-08-30,27550,27700,27200,27200,55487,001060,JW중외제약
103,2021-08-31,27150,27400,26950,27150,49903,001060,JW중외제약
104,2021-08-30,63900,63900,63300,63900,218,001067,JW중외제약2우B
105,2021-08-31,63600,63900,63200,63900,213,001067,JW중외제약2우B
106,2021-08-30,39250,39500,39200,39300,448,001065,JW중외제약우
107,2021-08-31,39350,39850,39350,39400,290,001065,JW중외제약우
108,2021-08-30,4100,4150,4090,4140,36349,096760,JW홀딩스
109,2021-08-31,4180,4180,4025,4130,41506,096760,JW홀딩스
110,2021-08-30,54800,54800,52500,52500,1885591,105560,KB금융
111,2021-08-31,52300,53100,51200,52900,2176493,105560,KB금융
112,2021-08-30,358000,363500,353000,360500,55638,002380,KCC
113,2021-08-31,361500,366500,357000,360000,43106,002380,KCC
114,2021-08-30,71000,74800,69500,73900,343851,344820,KCC글라스
115,2021-08-31,74100,75800,72200,74500,194125,344820,KCC글라스
116,2021-08-30,6980,7050,6900,6940,161076,009070,KCTC
117,2021-08-31,7000,7000,6820,6900,151773,009070,KCTC
118,2021-08-30,5890,5930,5750,5850,118829,009440,KC그린홀딩스
119,2021-08-31,5920,5920,5750,5810,113150,009440,KC그린홀딩스
120,2021-08-30,8000,8170,8000,8090,217488,119650,KC코트렐
121,2021-08-31,8240,8250,8000,8100,163968,119650,KC코트렐
122,2021-08-30,2235,2250,2190,2210,650526,092220,KEC
123,2021-08-31,2210,2220,2165,2215,859046,092220,KEC
124,2021-08-30,15250,15450,15000,15200,253152,016380,KG동부제철
125,2021-08-31,15550,15550,15000,15400,212196,016380,KG동부제철
126,2021-08-30,120000,120000,118000,118000,145,016385,KG동부제철우
127,2021-08-31,119500,119500,116500,119500,185,016385,KG동부제철우
128,2021-08-30,34200,34350,33750,34050,75045,001390,KG케미칼
129,2021-08-31,34050,34250,33700,34200,64112,001390,KG케미칼
130,2021-08-30,3070,3180,3070,3170,827986,033180,KH 필룩스
131,2021-08-31,3170,3370,3090,3285,3880794,033180,KH 필룩스
132,2021-08-30,21000,22150,20750,22050,52191,001940,KISCO홀딩스
133,2021-08-31,22150,22400,21500,22300,27931,001940,KISCO홀딩스
134,2021-08-30,59600,60500,59300,60400,6396,025000,KPX케미칼
135,2021-08-31,60500,60500,59400,60500,5197,025000,KPX케미칼
136,2021-08-30,67000,67000,66000,66600,627,092230,KPX홀딩스
137,2021-08-31,66200,67100,66200,66600,1880,092230,KPX홀딩스
138,2021-08-30,1120,1135,1100,1130,302532,000040,KR모터스
139,2021-08-31,1135,1145,1110,1125,266448,000040,KR모터스
140,2021-08-30,11000,11100,10950,11100,36460,044450,KSS해운
